,HISSE,INDUSTRY-22,SEKTOR-22,INDUSTRY-21,SEKTOR-21,INDUSTRY-20,SEKTOR-20,INDUSTRY-19,SEKTOR-19
152,TOASO,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
153,TRCAS,,,,,Utilities/Independent Power Producers,Utilities,,
154,TRGYO,REIT/Retail,Real Estate,REIT/Retail,Real Estate,REIT/Retail,Real Estate,REIT/Retail,Real Estate
155,TRILC,Drug Manufacturers/Specialty & Generic,Healthcare,Drug Manufacturers/Specialty & Generic,Healthcare,,,,
156,TRKCM,,,,,BIRLES,BIRLES,BIRLES,BIRLES
157,TSKB,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
158,TSPOR,Broadcasting,Communication Services,,,,,Broadcasting,Communication Services
159,TTKOM,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
160,TTRAK,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
161,TUKAS,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,,,Packaged Foods,Consumer Defensive
162,TUPRS,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy
163,TURSG,Insurance/Property & Casualty,Financial Services,Insurance/Property & Casualty,Financial Services,Insurance/Property & Casualty,Financial Services,Insurance/Property & Casualty,Financial Services
164,ULKER,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive
165,VAKBN,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
166,VERUS,Asset Management,Financial Services,Asset Management,Financial Services,,,Asset Management,Financial Services
167,VESBE,Furnishings & Fixtures & Appliances,Consumer Cyclical,Furnishings & Fixtures & Appliances,Consumer Cyclical,,,,
168,VESTL,Consumer Electronics,Technology,Consumer Electronics,Technology,Consumer Electronics,Technology,Consumer Electronics,Technology
169,YATAS,Furnishings & Fixtures & Appliances,Consumer Cyclical,Furnishings & Fixtures & Appliances,Consumer Cyclical,Furnishings & Fixtures & Appliances,Consumer Cyclical,Furnishings & Fixtures & Appliances,Consumer Cyclical
170,YKBNK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
171,YYLGD,Farm Products,Consumer Defensive,,,,,,
172,ZOREN,Utilities/Diversified,Utilities,Utilities/Diversified,Utilities,Utilities/Diversified,Utilities,Utilities/Diversified,Utilities
173,ZRGYO,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,,,,
