,HISSE,Unnamed: 0,INDUSTRY-21,SEKTOR-21,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
107,TCELL,82,Telecom Services,Communication Services,TCELL,87,TURKCELL,XU100,XU100,XU100,XU100,XU100
108,THYAO,83,Airlines,Industrials,THYAO,89,TURK HAVA YOLLARI,XU100,XU100,XU100,XU100,XU100
109,TKFEN,84,Engineering & Construction,Industrials,TKFEN,84,TEKFEN HOLDING,XU100,XU100,XU100,XU100,XU100
110,TKNSA,106,Specialty Retail,Consumer Cyclical,TKNSA,109,TEKNOSA IC VE DIS TICARET,,XU100,XU100,XU100,XU100
111,TMSN,124,Farm & Heavy Construction Machinery,Industrials,TMSN,128,TUMOSAN MOTOR VE TRAKTOR,,,,,XU100
112,TOASO,85,Auto Manufacturers,Consumer Cyclical,TOASO,85,TOFAS OTO. FAB.,XU100,XU100,XU100,XU100,XU100
113,TRGYO,87,REIT/Retail,Real Estate,TRGYO,86,TORUNLAR GMYO,XU100,XU100,XU100,XU100,XU100
114,TRILC,125,Drug Manufacturers/Specialty & Generic,Healthcare,TRILC,127,TURK ILAC SERUM,,,,,XU100
115,TSKB,88,Banks/Regional,Financial Services,TSKB,81,T.S.K.B.,XU100,XU100,XU100,XU100,XU100
116,TTKOM,89,Telecom Services,Communication Services,TTKOM,90,TURK TELEKOM,XU100,XU100,XU100,XU100,XU100
117,TTRAK,86,Farm & Heavy Construction Machinery,Industrials,TTRAK,91,TURK TRAKTOR,XU100,XU100,XU100,XU100,XU100
118,TUKAS,107,Packaged Foods,Consumer Defensive,TUKAS,110,TUKAS,,XU100,XU100,,
119,TUPRS,90,Oil & Gas Refining & Marketing,Energy,TUPRS,88,TUPRAS,XU100,XU100,XU100,XU100,XU100
120,TURSG,91,Insurance/Property & Casualty,Financial Services,TURSG,92,TURKIYE SIGORTA,XU100,XU100,XU100,XU100,XU100
121,ULKER,92,Confectioners,Consumer Defensive,ULKER,93,ULKER BISKUVI,XU100,XU100,XU100,XU100,XU100
122,VAKBN,93,Banks/Regional,Financial Services,VAKBN,94,VAKIFLAR BANKASI,XU100,XU100,XU100,XU100,XU100
123,VERUS,94,Asset Management,Financial Services,VERUS,95,VERUSA HOLDING,XU100,XU100,XU100,XU100,XU100
124,VESBE,115,Furnishings & Fixtures & Appliances,Consumer Cyclical,VESBE,119,VESTEL BEYAZ ESYA,,,,XU100,XU100
125,VESTL,95,Consumer Electronics,Technology,VESTL,96,VESTEL,XU100,XU100,XU100,XU100,XU100
126,YATAS,96,Furnishings & Fixtures & Appliances,Consumer Cyclical,YATAS,98,YATAS,XU100,XU100,XU100,,XU100
127,YKBNK,97,Banks/Regional,Financial Services,YKBNK,97,YAPI VE KREDI BANK.,XU100,XU100,XU100,XU100,XU100
128,ZOREN,98,Utilities/Diversified,Utilities,ZOREN,99,ZORLU ENERJI,XU100,XU100,XU100,XU100,XU100
129,ZRGYO,126,REIT/Diversified,Real Estate,ZRGYO,129,ZIRAAT GMYO,,,,,XU100
